time_s,x_m,y_m,z_m,theta_x_deg,theta_y_deg,theta_z_deg
13.840796,0.720679,-0.023880,0.542808,25.692759,75.465874,15.976382
13.889648,0.722547,-0.024173,0.534936,27.288399,76.469307,17.439693
13.941380,0.724317,-0.024504,0.526792,29.163860,77.493568,19.171333
13.994363,0.726119,-0.024947,0.517939,31.579624,78.583099,21.424271
14.039658,0.727444,-0.025356,0.510746,33.895630,79.455406,23.600904
14.089769,0.728836,-0.025803,0.502669,36.981380,80.402390,26.532324
14.132044,0.729913,-0.026231,0.495862,40.038383,81.177261,29.451468
14.190053,0.731246,-0.026716,0.486524,45.183434,82.191818,34.415970
14.240483,0.732260,-0.027142,0.478435,50.767570,83.005806,39.840538
14.294331,0.733222,-0.027768,0.469677,58.423885,83.791237,47.307117
14.340079,0.733915,-0.028316,0.462209,66.440643,84.355377,55.159924
14.390329,0.734567,-0.028799,0.454088,76.898643,84.821434,65.447075
14.443982,0.735124,-0.029385,0.445305,89.912033,85.101799,78.268448
14.490473,0.735500,-0.029978,0.437929,101.561241,85.129478,89.744537
14.539608,0.735772,-0.030631,0.429754,113.978088,84.927361,101.969429
14.594846,0.735933,-0.031271,0.421031,125.714951,84.482857,113.501663
14.642972,0.735948,-0.031907,0.413574,134.103531,83.946442,121.705383
14.689700,0.735858,-0.032533,0.405530,141.566925,83.256638,128.972305
14.740176,0.735656,-0.033130,0.397491,147.507919,82.474953,134.717453
14.790024,0.735303,-0.033882,0.389379,152.415588,81.616562,139.411194
14.840880,0.734854,-0.034643,0.381358,156.359039,80.719254,143.138763
14.890070,0.734276,-0.035308,0.373373,159.633545,79.793266,146.203690
14.939814,0.733568,-0.035994,0.365336,162.344391,78.832977,148.697296
14.990859,0.732749,-0.036790,0.357414,164.665237,77.864235,150.791672
15.042303,0.731812,-0.037596,0.349485,166.624893,76.876465,152.518631
15.089766,0.730738,-0.038346,0.341515,168.387451,75.874214,154.051788
15.140437,0.729550,-0.039122,0.333636,169.885269,74.863098,155.313675
15.190066,0.728268,-0.039884,0.325828,171.234543,73.852776,156.428268
15.239743,0.726869,-0.040675,0.318057,172.412979,72.839943,157.365234
15.289649,0.725296,-0.041599,0.310202,173.497040,71.803833,158.188812
15.339630,0.723648,-0.042467,0.302640,174.439301,70.786781,158.876175
15.389960,0.721846,-0.043272,0.296293,175.074127,69.839241,159.270447
15.439704,0.720539,-0.043883,0.292848,175.320602,69.240059,159.355118
15.490458,0.720298,-0.044023,0.292317,175.289886,69.129883,159.294144
15.540073,0.721390,-0.043486,0.294235,175.167877,69.438530,159.355835
15.590027,0.723324,-0.043306,0.297108,174.855621,69.860466,159.247940
15.640494,0.725954,-0.043053,0.301005,174.390152,70.387703,159.009171
15.689378,0.729359,-0.042254,0.305999,173.772202,71.026253,158.682465
15.744720,0.733845,-0.041172,0.312567,172.950806,71.843246,158.215317
15.790157,0.737797,-0.040151,0.318522,172.132812,72.568695,157.703018
15.839412,0.741557,-0.039126,0.324398,171.298981,73.285774,157.185715
15.894056,0.744667,-0.038508,0.329433,170.532150,73.916603,156.691101
15.940186,0.746595,-0.038418,0.332724,170.046722,74.345322,156.384857
15.990338,0.748014,-0.038244,0.335271,169.575958,74.699829,156.089096
16.043429,0.748639,-0.037795,0.336733,169.487289,74.925621,156.148117
16.089824,0.748767,-0.037940,0.337192,169.516586,75.010063,156.200333
16.140124,0.748709,-0.040640,0.337792,169.721481,75.083961,156.185455
16.194682,0.748495,-0.045600,0.338985,170.208054,75.232658,156.258255
16.239964,0.748228,-0.050758,0.340379,170.805649,75.409256,156.423782
16.290135,0.747967,-0.055739,0.341768,171.383987,75.583321,156.587875
16.344491,0.747773,-0.059833,0.342814,171.754822,75.711563,156.625214
16.415788,0.747714,-0.061316,0.343154,171.857697,75.752266,156.609406
16.464849,0.747725,-0.061195,0.343130,171.846451,75.749245,156.608124
16.514993,0.747733,-0.061097,0.343106,171.835938,75.746330,156.605743
16.566082,0.747732,-0.061075,0.343094,171.832382,75.744835,156.603912
16.619104,0.747748,-0.060883,0.343069,171.823273,75.741928,156.610062
16.664955,0.747751,-0.060826,0.343057,171.819641,75.740524,156.610977
16.715248,0.747747,-0.060832,0.343051,171.820007,75.739899,156.610809
16.771624,0.747751,-0.060779,0.343033,171.813187,75.737747,156.608398
16.814839,0.747754,-0.060731,0.343019,171.807846,75.736008,156.607025
16.864940,0.747751,-0.060738,0.343014,171.808578,75.735535,156.607147
16.920002,0.747749,-0.060733,0.343010,171.808640,75.735100,156.607544
16.965175,0.747750,-0.060714,0.343003,171.807449,75.734314,156.607895
17.015017,0.747747,-0.060719,0.342999,171.808014,75.733948,156.607925
17.069002,0.747746,-0.060719,0.342996,171.808502,75.733627,156.608398
17.115543,0.747745,-0.060712,0.342992,171.808899,75.733231,156.609314
17.165218,0.747744,-0.060716,0.342991,171.809082,75.733131,156.609100
17.219231,0.747742,-0.060717,0.342987,171.809586,75.732750,156.609512
17.265066,0.747742,-0.060713,0.342985,171.809937,75.732590,156.610199
17.314920,0.747741,-0.060715,0.342986,171.809967,75.732605,156.610001
17.366261,0.747740,-0.060716,0.342983,171.810699,75.732330,156.610580
17.414867,0.747740,-0.060714,0.342982,171.810669,75.732254,156.610733
17.465168,0.747740,-0.060715,0.342982,171.810791,75.732254,156.610779
17.515118,0.747739,-0.060716,0.342981,171.810623,75.732201,156.610504
17.565306,0.747739,-0.060714,0.342981,171.810562,75.732185,156.610580
17.615546,0.747739,-0.060715,0.342981,171.810593,75.732193,156.610550
17.664832,0.747739,-0.060716,0.342982,171.810944,75.732216,156.610825
17.714590,0.747740,-0.060714,0.342981,171.810867,75.732178,156.610916
17.765021,0.747739,-0.060715,0.342981,171.811005,75.732170,156.610977
17.814987,0.747739,-0.060716,0.342981,171.810699,75.732185,156.610596
17.866688,0.747740,-0.060715,0.342981,171.810822,75.732140,156.610794
17.915527,0.747740,-0.060715,0.342981,171.810852,75.732140,156.610825
17.966657,0.747739,-0.060716,0.342981,171.811157,75.732162,156.611053
18.015233,0.747740,-0.060715,0.342981,171.811096,75.732147,156.611084
18.066413,0.747740,-0.060715,0.342980,171.811172,75.732140,156.611145
18.116020,0.747739,-0.060715,0.342981,171.811157,75.732162,156.611084
18.164908,0.747740,-0.060715,0.342980,171.811172,75.732140,156.611145
18.217120,0.747740,-0.060715,0.342980,171.811172,75.732140,156.611145
18.265955,0.747740,-0.060715,0.342980,171.811234,75.732155,156.611145
18.315814,0.747740,-0.060715,0.342980,171.811172,75.732140,156.611145
18.370131,0.747740,-0.060715,0.342980,171.810913,75.732132,156.610870
18.417660,0.747739,-0.060715,0.342980,171.810959,75.732140,156.610870
18.466092,0.747740,-0.060715,0.342980,171.810913,75.732132,156.610870
18.520524,0.747740,-0.060715,0.342980,171.810913,75.732132,156.610870
18.564602,0.747740,-0.060715,0.342980,171.811172,75.732140,156.611115
18.614962,0.747740,-0.060715,0.342980,171.811172,75.732140,156.611145
18.669333,0.747740,-0.060715,0.342980,171.811172,75.732140,156.611145
18.715237,0.747740,-0.060715,0.342980,171.811172,75.732140,156.611115
18.765061,0.747740,-0.060715,0.342980,171.811172,75.732140,156.611145
18.818825,0.747740,-0.060715,0.342980,171.811249,75.732124,156.611237
18.865041,0.747740,-0.060715,0.342980,171.811234,75.732155,156.611145
18.914677,0.747740,-0.060715,0.342980,171.811249,75.732124,156.611237
18.969135,0.747740,-0.060715,0.342980,171.811249,75.732124,156.611237
19.015534,0.747740,-0.060715,0.342980,171.811295,75.732140,156.611221
19.064921,0.747740,-0.060715,0.342980,171.810989,75.732109,156.610962
19.115534,0.747740,-0.060715,0.342980,171.810989,75.732109,156.610962
19.165416,0.747740,-0.060715,0.342980,171.811035,75.732124,156.610977
19.215671,0.747740,-0.060715,0.342980,171.811249,75.732124,156.611237
19.265097,0.747740,-0.060715,0.342980,171.811295,75.732140,156.611237
19.315198,0.747740,-0.060715,0.342980,171.811295,75.732140,156.611237
19.366345,0.747740,-0.060715,0.342980,171.811295,75.732140,156.611237
19.416764,0.747740,-0.060715,0.342980,171.811295,75.732140,156.611237
19.465341,0.747740,-0.060715,0.342980,171.811295,75.732140,156.611237
19.515117,0.747740,-0.060715,0.342980,171.811295,75.732140,156.611237
19.565059,0.747740,-0.060715,0.342980,171.811249,75.732124,156.611237
19.615540,0.747740,-0.060715,0.342980,171.811295,75.732140,156.611237
